fid,DN,Area-km2
1173,828,4.086160887
1174,891,4.937977346
1175,385,0.649816372
1176,1164,6.91576192
1177,839,7.385502993
1178,1168,0.108307239
1179,842,0.007220669
1180,553,0.007220669
1181,557,5.053674619
1182,361,0.664279943
1183,363,4.050337211
1184,822,6.605926792
1185,448,2.353793677
1186,413,2.368201965
1187,555,1.039690884
1188,553,0.050544843
1189,896,0.036103883
1190,553,0.007220802
1191,1225,4.281471874
1192,991,3.754161918
1193,554,0.122750749
1194,1230,0.072207814
1195,440,0.007220868
1196,1226,9.168389216
1197,442,0.274385164
1198,898,0.064987481
1199,900,0.007220934
1200,895,0.007220934
1201,424,0.007220934
1202,366,8.872469641
1203,384,6.115242296
1204,442,0.007221
1205,441,0.830355564
1206,830,4.237801854
1207,895,0.050546695
1208,439,1.104746294
1209,434,0.007221066
1210,1162,6.82921887
1211,1233,0.050547158
1212,414,2.130085056
1213,367,0.245512435
1214,829,8.06456026
1215,892,5.039062515
1216,364,2.231199537
1217,434,0.014442331
1218,433,0.729312272
1219,371,7.947965012
1220,437,0.129978426
1221,1234,0.223853186
1222,432,0.007221265
1223,372,0.007221265
1224,1194,7.342955433
1225,371,0.014442596
1226,1235,0.014442662
1227,370,0.007221331
1228,1137,8.476109007
1229,438,0.166086224
1230,435,2.382783762
1231,1232,0.007221397
1232,370,0.007221397
1233,381,0.700429109
1234,449,3.956975421
1235,369,4.93180178
1236,450,0.924290277
1237,1140,0.007221463
1238,370,0.007221463
1239,382,0.007221529
1240,382,0.924289858
1241,471,0.007221596
1242,850,2.852120495
1243,362,3.003946424
1244,850,0.007221662
1245,432,0.007221662
1246,851,2.715114641
1247,372,8.634845213
1248,431,0.635487938
1249,1232,0.12998723
1250,430,0.007221728
1251,1238,0.007221728
1252,849,4.42557541
1253,847,0.072217057
1254,373,0.108323802
1255,374,0.007221794
1256,368,1.357617394
1257,890,3.393677302
1258,452,0.324965759
1259,848,0.028887309
1260,1316,0.00722186
1261,451,1.660889833
1262,843,3.725871931
1263,848,0.007221926
1264,454,0.007221926
1265,454,0.007221926
1266,992,11.20474021
1267,889,3.039903603
1268,852,2.686355433
1269,1139,3.841629472
1270,845,0.086662611
1271,454,0.007221992
1272,990,5.061115765
1273,375,0.47663189
1274,1316,0.036110004
1275,1315,0.014444051
1276,844,0.007222059
1277,370,2.202585603
1278,376,0.151660086
1279,846,0.07222034
1280,1141,0.014444183
1281,1347,2.440794329
1282,844,0.007222125
1283,378,0.007222125
1284,377,0.007222125
1285,378,0.007222125
1286,455,0.281656125
1287,1151,3.451644777
1288,1140,3.79127582
1289,1348,1.660956459
1290,490,0.007222191
1291,378,0.007222191
1292,378,0.007222191
1293,1350,0.007222191
1294,429,8.116489065
1295,899,0.498291902
1296,490,0.007222257
1297,457,0.007222257
1298,1239,0.007222257
1299,428,0.007222257
1300,378,0.007222257
1301,900,1.278224228
1302,377,0.584977302
1303,901,0.007222323
1304,378,0.028889292
1305,457,1.141070023
1306,1318,1.841563618
1307,459,0.007222455
1308,471,1.559867563
1309,1317,2.007695962
1310,478,0.259995757
1311,1240,0.10111384
1312,481,4.289293067
1313,459,0.007222521
1314,548,0.007222588
1315,550,0.007222588
1316,1319,0.007222588
1317,472,2.115865673
1318,840,7.488183035
1319,430,2.520531742
1320,489,3.863661377
1321,853,2.419426453
1322,856,0.007222654
1323,472,0.007222654
1324,458,0.028890453
1325,1236,2.260408548
1326,980,5.220912233
1327,482,2.895930876
1328,490,1.805556471
1329,477,0.85222363
1330,392,1.06887642
1331,374,1.032770833
